interval_start_local,hourly_load,hour,dayofweek,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24
2025-04-02 10:00:00-07:00,19247.25,10,2,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5
2025-04-02 11:00:00-07:00,17585.333333333332,11,2,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75
2025-04-02 12:00:00-07:00,16740.416666666668,12,2,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25
2025-04-02 13:00:00-07:00,16106.416666666666,13,2,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5
2025-04-02 14:00:00-07:00,15693.25,14,2,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334
2025-04-02 15:00:00-07:00,16407.833333333332,15,2,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334
2025-04-02 16:00:00-07:00,17591.0,16,2,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668
2025-04-02 17:00:00-07:00,19696.916666666668,17,2,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332
2025-04-02 18:00:00-07:00,22460.0,18,2,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332
2025-04-02 19:00:00-07:00,24790.333333333332,19,2,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25
2025-04-02 20:00:00-07:00,25209.416666666668,20,2,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332
2025-04-02 21:00:00-07:00,24616.333333333332,21,2,25209.416666666668,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332,25025.916666666668
2025-04-02 22:00:00-07:00,23464.166666666668,22,2,24616.333333333332,25209.416666666668,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332,25025.916666666668,23833.75
2025-04-02 23:00:00-07:00,22056.833333333332,23,2,23464.166666666668,24616.333333333332,25209.416666666668,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332,25025.916666666668,23833.75,22783.25
2025-04-03 00:00:00-07:00,21335.416666666668,0,3,22056.833333333332,23464.166666666668,24616.333333333332,25209.416666666668,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332,25025.916666666668,23833.75,22783.25,22160.75
2025-04-03 01:00:00-07:00,20861.333333333332,1,3,21335.416666666668,22056.833333333332,23464.166666666668,24616.333333333332,25209.416666666668,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332,25025.916666666668,23833.75,22783.25,22160.75,21482.0
2025-04-03 02:00:00-07:00,20386.833333333332,2,3,20861.333333333332,21335.416666666668,22056.833333333332,23464.166666666668,24616.333333333332,25209.416666666668,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332,25025.916666666668,23833.75,22783.25,22160.75,21482.0,20898.75
2025-04-03 03:00:00-07:00,20111.666666666668,3,3,20386.833333333332,20861.333333333332,21335.416666666668,22056.833333333332,23464.166666666668,24616.333333333332,25209.416666666668,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332,25025.916666666668,23833.75,22783.25,22160.75,21482.0,20898.75,20709.416666666668
2025-04-03 04:00:00-07:00,20518.333333333332,4,3,20111.666666666668,20386.833333333332,20861.333333333332,21335.416666666668,22056.833333333332,23464.166666666668,24616.333333333332,25209.416666666668,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,20627.5,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332,25025.916666666668,23833.75,22783.25,22160.75,21482.0,20898.75,20709.416666666668,21098.916666666668
2025-04-03 05:00:00-07:00,21689.583333333332,5,3,20518.333333333332,20111.666666666668,20386.833333333332,20861.333333333332,21335.416666666668,22056.833333333332,23464.166666666668,24616.333333333332,25209.416666666668,24790.333333333332,22460.0,19696.916666666668,17591.0,16407.833333333332,15693.25,16106.416666666666,16740.416666666668,17585.333333333332,19247.25,21524.916666666668,23883.25,25061.5,24120.083333333332,21937.75,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332,18196.5,16777.75,15563.25,15282.5,15587.583333333334,16172.083333333334,17698.666666666668,20377.333333333332,22898.833333333332,25033.25,25480.333333333332,25025.916666666668,23833.75,22783.25,22160.75,21482.0,20898.75,20709.416666666668,21098.916666666668,22182.166666666668
