interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,supply,stand_alone_batteries,hybrid_batteries
2025-04-01T03:30:00-07:00,2025-04-01 10:30:00+00:00,2025-04-01T03:35:00-07:00,2025-04-01 10:35:00+00:00,-21,-4,14
2025-04-01T03:35:00-07:00,2025-04-01 10:35:00+00:00,2025-04-01T03:40:00-07:00,2025-04-01 10:40:00+00:00,328,502,13
2025-04-01T03:40:00-07:00,2025-04-01 10:40:00+00:00,2025-04-01T03:45:00-07:00,2025-04-01 10:45:00+00:00,404,393,13
2025-04-01T03:45:00-07:00,2025-04-01 10:45:00+00:00,2025-04-01T03:50:00-07:00,2025-04-01 10:50:00+00:00,264,217,14
2025-04-01T03:50:00-07:00,2025-04-01 10:50:00+00:00,2025-04-01T03:55:00-07:00,2025-04-01 10:55:00+00:00,10,-13,14
2025-04-01T03:55:00-07:00,2025-04-01 10:55:00+00:00,2025-04-01T04:00:00-07:00,2025-04-01 11:00:00+00:00,-101,-126,14
2025-04-01T04:00:00-07:00,2025-04-01 11:00:00+00:00,2025-04-01T04:05:00-07:00,2025-04-01 11:05:00+00:00,-111,-148,14
2025-04-01T04:05:00-07:00,2025-04-01 11:05:00+00:00,2025-04-01T04:10:00-07:00,2025-04-01 11:10:00+00:00,-105,-140,12
2025-04-01T04:10:00-07:00,2025-04-01 11:10:00+00:00,2025-04-01T04:15:00-07:00,2025-04-01 11:15:00+00:00,-87,502,11
2025-04-01T04:15:00-07:00,2025-04-01 11:15:00+00:00,2025-04-01T04:20:00-07:00,2025-04-01 11:20:00+00:00,-73,-68,11
2025-04-01T04:20:00-07:00,2025-04-01 11:20:00+00:00,2025-04-01T04:25:00-07:00,2025-04-01 11:25:00+00:00,205,90,11
2025-04-01T04:25:00-07:00,2025-04-01 11:25:00+00:00,2025-04-01T04:30:00-07:00,2025-04-01 11:30:00+00:00,316,502,21
2025-04-01T04:30:00-07:00,2025-04-01 11:30:00+00:00,2025-04-01T04:35:00-07:00,2025-04-01 11:35:00+00:00,106,90,11
2025-04-01T04:35:00-07:00,2025-04-01 11:35:00+00:00,2025-04-01T04:40:00-07:00,2025-04-01 11:40:00+00:00,274,235,11
2025-04-01T04:40:00-07:00,2025-04-01 11:40:00+00:00,2025-04-01T04:45:00-07:00,2025-04-01 11:45:00+00:00,305,502,10
2025-04-01T04:45:00-07:00,2025-04-01 11:45:00+00:00,2025-04-01T04:50:00-07:00,2025-04-01 11:50:00+00:00,428,446,11
2025-04-01T04:50:00-07:00,2025-04-01 11:50:00+00:00,2025-04-01T04:55:00-07:00,2025-04-01 11:55:00+00:00,914,937,21
2025-04-01T04:55:00-07:00,2025-04-01 11:55:00+00:00,2025-04-01T05:00:00-07:00,2025-04-01 12:00:00+00:00,1187,1157,23
